ID,income,debt 1,debt 2,credit,age,edu,exp,red,loyalty
1,176,9.3,5.008608,11.359392,81,3,17,12,1
2,31,17.3,4.000798,1.362202,27,1,10,6,0
3,,5.5,2.168925,0.856075,40,1,15,7,0
4,120,2.9,,2.65872,41,,15,14,0
5,28,17.3,3.056564,1.787436,24,2,2,0,1
6,25,10.2,2.1573,0.3927,41,2,5,5,0
7,,30.6,16.668126,3.833874,39,1,20,9,0
8,38,3.6,1.239408,0.128592,,1,12,11,0
9,19,24.4,3.277652,1.358348,24,1,3,4,1
10,25,19.7,2.1473,2.7777,36,1,0,13,0
11,16,1.7,0.089488,0.182512,70,1,0,1,0
12,23,5.2,,0.252356,25,1,4,0,0
13,64,10,2.4704,3.9296,52,1,24,14,0
14,29,16.3,3.011099,1.715901,37,1,6,9,0
15,100,9.1,5.3963,3.7037,48,1,22,15,0
16,49,8.6,3.396484,0.817516,36,2,9,6,1
17,41,16.4,3.805784,2.918216,36,2,13,6,1
18,72,7.6,4.290048,1.181952,43,1,23,19,0
19,61,5.7,2.913726,0.563274,39,1,6,9,0
20,26,1.7,0.342992,0.099008,,,0,21,0
21,52,3.2,0.509184,1.154816,39,1,22,3,0
22,43,5.6,1.820448,0.587552,47,1,17,21,0
23,26,10,2.1684,0.4316,28,1,3,6,0
24,27,9.8,2.243808,0.402192,29,1,8,6,0
25,16,18,2.63808,0.24192,21,,1,2,1
26,,17.6,3.49184,2.14016,25,4,0,2,0
27,69,6.7,,0.707319,45,2,9,26,0
28,64,16.7,,0.951232,43,1,25,21,0
29,58,18.4,7.587792,3.084208,33,2,12,8,0
30,37,14.2,5.049094,0.204906,26,3,2,1,0
31,20,2.1,0.315,0.105,45,1,3,15,0
32,22,10.5,1.17117,1.13883,30,1,1,10,0
33,26,6,0.83772,0.72228,27,,2,7,0
34,27,14.4,2.869344,1.018656,25,1,8,4,0
35,35,2.9,0.93786,0.07714,25,1,8,1,0
36,45,26,5.6511,6.0489,26,2,6,7,0
37,22,16.1,2.132284,1.409716,30,2,10,4,0
38,,14.4,4.580064,3.195936,32,2,12,1,0
39,24,17.1,2.766096,1.337904,28,,1,8,1
40,50,4.2,1.5414,0.5586,45,1,23,5,0
41,31,6.6,1.70841,0.33759,23,1,7,2,0
42,59,8,2.91224,1.80776,34,1,17,3,0
43,41,4.6,0.944886,0.941114,42,2,7,23,0
44,48,13.1,4.357584,1.930416,39,1,19,5,0
45,14,7.5,0.7476,0.3024,26,1,0,0,1
46,16,6.8,,0.150144,21,2,0,1,0
